Player Name,Position,Matchup Light,Offense Light,Vegas Light
Jordan Love,QB,YELLOW,YELLOW,GREEN
Drake Maye,QB,RED,GREEN,YELLOW
Jayden Higgins,WR,YELLOW,YELLOW,RED
Bhayshul Tuten,RB,RED,YELLOW,YELLOW
C.J. Stroud,QB,YELLOW,YELLOW,RED
Tyjae Spears,RB,RED,RED,RED
Dalton Kincaid,TE,BYE,BYE,BYE
Dallas Goedert,TE,YELLOW,GREEN,YELLOW
Tank Bigsby,RB,YELLOW,RED,YELLOW
Rachaad White,RB,RED,GREEN,YELLOW
Rashid Shaheed,WR,GREEN,RED,YELLOW
Jaydon Blue,RB,YELLOW,GREEN,GREEN
J.J. McCarthy,QB,YELLOW,YELLOW,YELLOW
Jake Ferguson,TE,YELLOW,GREEN,GREEN
Jack Bech,WR,RED,YELLOW,RED
Kyle Williams,WR,YELLOW,YELLOW,YELLOW
Austin Ekeler,RB,GREEN,YELLOW,GREEN
Marvin Mims,WR,GREEN,YELLOW,YELLOW
Tre Harris,WR,GREEN,GREEN,GREEN
Marquise Brown,WR,GREEN,GREEN,GREEN
Rashod Bateman,WR,BYE,BYE,BYE
Isaac Guerendo,RB,RED,GREEN,GREEN
Trey Benson,RB,RED,YELLOW,RED
Trevor Lawrence,QB,RED,YELLOW,YELLOW
Kyle Pitts,TE,YELLOW,RED,YELLOW
Tyler Allgeier,RB,YELLOW,GREEN,YELLOW
Michael Penix,QB,YELLOW,RED,YELLOW
Cameron Ward,QB,YELLOW,RED,RED
Matthew Stafford,QB,GREEN,YELLOW,YELLOW
Ray Davis,RB,BYE,BYE,BYE
J.K. Dobbins,RB,YELLOW,YELLOW,YELLOW
Christian Kirk,WR,YELLOW,YELLOW,RED
Quentin Johnston,WR,GREEN,GREEN,GREEN
Adam Thielen,WR,YELLOW,YELLOW,YELLOW
Isaiah Likely,TE,RED,YELLOW,GREEN
Xavier Legette,WR,RED,RED,YELLOW
Jalen McMillan,WR,BYE,BYE,BYE
Bryce Young,QB,YELLOW,RED,YELLOW
Rico Dowdle,RB,YELLOW,GREEN,YELLOW
Pat Freiermuth,TE,GREEN,YELLOW,YELLOW
Cedric Tillman,WR,YELLOW,RED,YELLOW
Tua Tagovailoa,QB,RED,RED,RED
Geno Smith,QB,YELLOW,RED,RED
Braelon Allen,RB,YELLOW,RED,RED
Hunter Henry,TE,YELLOW,YELLOW,YELLOW
Brenton Strange,TE,YELLOW,YELLOW,YELLOW
Roschon Johnson,RB,RED,YELLOW,RED
Sam Darnold,QB,RED,YELLOW,YELLOW
Zach Ertz,TE,YELLOW,YELLOW,GREEN
Nick Chubb,RB,YELLOW,YELLOW,RED
Jaylen Wright,RB,RED,YELLOW,RED
Wan'Dale Robinson,WR,RED,YELLOW,RED
DeAndre Hopkins,WR,BYE,BYE,BYE
Joshua Palmer,WR,BYE,BYE,BYE
Jaylin Noel,WR,YELLOW,YELLOW,RED
Mike Gesicki,TE,GREEN,YELLOW,RED
Cade Otton,TE,YELLOW,RED,YELLOW
Romeo Doubs,WR,YELLOW,YELLOW,GREEN
Mason Taylor,TE,GREEN,RED,RED
Aaron Rodgers,QB,YELLOW,YELLOW,YELLOW
Pat Bryant,WR,YELLOW,GREEN,GREEN
Kareem Hunt,RB,YELLOW,RED,GREEN
Anthony Richardson,QB,RED,GREEN,YELLOW
Dylan Sampson,RB,GREEN,YELLOW,YELLOW
Keenan Allen,WR,GREEN,GREEN,GREEN
Justice Hill,RB,BYE,BYE,BYE
Jarquez Hunter,RB,YELLOW,YELLOW,YELLOW
Alec Pierce,WR,RED,YELLOW,YELLOW
DJ Giddens,RB,YELLOW,GREEN,YELLOW
Jerome Ford,RB,GREEN,YELLOW,YELLOW
Blake Corum,RB,YELLOW,YELLOW,YELLOW
MarShawn Lloyd,RB,YELLOW,GREEN,GREEN
Devin Neal,RB,GREEN,RED,YELLOW
Dalton Schultz,TE,GREEN,RED,RED
Jalen Coker,WR,RED,RED,YELLOW
Will Shipley,RB,YELLOW,RED,YELLOW
Michael Wilson,WR,YELLOW,RED,RED
Jaxson Dart,QB,RED,YELLOW,RED
Chigoziem Okonkwo,TE,YELLOW,YELLOW,RED
DeMario Douglas,WR,YELLOW,YELLOW,YELLOW
Terrance Ferguson,TE,YELLOW,RED,YELLOW
Dontayvion Wicks,WR,YELLOW,YELLOW,GREEN
Darius Slayton,WR,RED,YELLOW,RED
Ja'Tavion Sanders,TE,GREEN,YELLOW,YELLOW
Juwan Johnson,TE,YELLOW,YELLOW,YELLOW
Amari Cooper,WR,YELLOW,RED,YELLOW
Tyler Lockett,WR,YELLOW,RED,RED
Roman Wilson,WR,YELLOW,YELLOW,YELLOW
Brashard Smith,RB,YELLOW,RED,GREEN
Adonai Mitchell,WR,RED,YELLOW,YELLOW
Elic Ayomanor,WR,YELLOW,RED,RED
Joe Flacco,QB,GREEN,RED,RED
Russell Wilson,QB,RED,YELLOW,RED
Dyami Brown,WR,RED,YELLOW,YELLOW
Calvin Austin,WR,YELLOW,YELLOW,YELLOW
Cole Kmet,TE,YELLOW,RED,GREEN
Elijah Arroyo,TE,RED,YELLOW,YELLOW
Jalen Royals,WR,GREEN,GREEN,GREEN
Andrei Iosivas,WR,GREEN,YELLOW,YELLOW
Shedeur Sanders,QB,GREEN,RED,YELLOW
Tyler Shough,QB,GREEN,RED,YELLOW
Daniel Jones,QB,RED,GREEN,YELLOW
Woody Marks,RB,YELLOW,YELLOW,RED
Theo Johnson,TE,RED,YELLOW,RED
Jalen Tolbert,WR,YELLOW,GREEN,GREEN
Jordan James,RB,RED,GREEN,GREEN
Miles Sanders,RB,YELLOW,GREEN,GREEN
Jalen Milroe,QB,RED,YELLOW,YELLOW
Trevor Etienne,RB,YELLOW,GREEN,YELLOW
Tahj Brooks,RB,YELLOW,RED,RED
Jaleel McLaughlin,RB,YELLOW,YELLOW,YELLOW
Audric Estime,RB,GREEN,YELLOW,GREEN
Noah Gray,TE,RED,YELLOW,GREEN
Kendre Miller,RB,GREEN,RED,YELLOW
Ray-Ray McCloud,WR,YELLOW,RED,YELLOW
Ollie Gordon II,RB,RED,YELLOW,RED
Kyle Monangai,RB,YELLOW,RED,GREEN
Keaton Mitchell,RB,GREEN,RED,YELLOW
Tutu Atwell,WR,GREEN,GREEN,YELLOW
Raheem Mostert,RB,YELLOW,YELLOW,RED
Savion Williams,WR,YELLOW,YELLOW,GREEN
Harold Fannin,TE,GREEN,GREEN,YELLOW
Tory Horton,WR,RED,GREEN,YELLOW
Zack Moss,RB,YELLOW,RED,RED
Mike Williams,WR,GREEN,GREEN,GREEN
Xavier Restrepo,WR,YELLOW,RED,RED
Sean Tucker,RB,RED,GREEN,YELLOW
Jahan Dotson,WR,RED,RED,YELLOW
Ben Sinnott,TE,YELLOW,YELLOW,GREEN
Javon Baker,WR,RED,YELLOW,RED
Diontae Johnson,WR,YELLOW,RED,RED
Troy Franklin,WR,GREEN,YELLOW,YELLOW
Johnny Wilson,WR,RED,RED,YELLOW
Tyler Higbee,TE,YELLOW,RED,YELLOW
K.J. Osborn,WR,GREEN,GREEN,YELLOW
Brenden Rice,WR,GREEN,GREEN,GREEN
Zamir White,RB,YELLOW,YELLOW,RED
Tyler Conklin,TE,YELLOW,RED,GREEN
Jordan Whittington,WR,GREEN,GREEN,YELLOW
Ty Johnson,RB,BYE,BYE,BYE
Jonathon Brooks,RB,YELLOW,GREEN,YELLOW
Jermaine Burton,WR,YELLOW,YELLOW,RED
Brandin Cooks,WR,GREEN,RED,YELLOW
Elijah Moore,WR,BYE,BYE,BYE
Curtis Samuel,WR,BYE,BYE,BYE
Ezekiel Elliott,RB,#N/A,#N/A,#N/A
Antonio Gibson,RB,GREEN,RED,YELLOW
Christian Watson,WR,YELLOW,YELLOW,GREEN
Kirk Cousins,QB,YELLOW,RED,YELLOW
Luke Musgrave,#N/A,#N/A,#N/A,#N/A
A.T. Perry,#N/A,#REF!,#N/A,YELLOW
Xavier Hutchinson,WR,YELLOW,YELLOW,RED
Damien Martinez,RB,RED,YELLOW,RED
Tahj Washington,WR,YELLOW,YELLOW,RED
Noah Fant,TE,RED,YELLOW,YELLOW
Nathaniel Dell,#N/A,#N/A,#N/A,#N/A
Noah Brown,WR,GREEN,YELLOW,GREEN
Josh Reynolds,WR,RED,RED,RED
Bam Knight,RB,RED,YELLOW,RED
Dylan Laube,#N/A,#N/A,#N/A,#N/A
Tre Harris,WR,GREEN,GREEN,GREEN
Devin Singletary,RB,RED,YELLOW,RED
Demarcus Robinson,WR,RED,YELLOW,GREEN
Dillon Gabriel,QB,GREEN,RED,YELLOW
Devontez Walker,WR,BYE,BYE,BYE
Elijah Mitchell,RB,YELLOW,RED,GREEN
Isaiah Bond,WR,YELLOW,RED,YELLOW
Oronde Gadsden,TE,YELLOW,RED,GREEN
Kimani Vidal,RB,RED,YELLOW,GREEN
Michael Mayer,TE,RED,YELLOW,RED
Joe Flacco,QB,GREEN,RED,RED
Kayshon Boutte,WR,YELLOW,YELLOW,YELLOW
Hassan Haskins,RB,RED,YELLOW,GREEN
Tez Johnson,WR,GREEN,GREEN,YELLOW
Kendrick Bourne,WR,RED,YELLOW,GREEN
Allen Lazard,WR,RED,RED,RED
Darren Waller,TE,YELLOW,YELLOW,RED
Alexander Mattison,RB,RED,YELLOW,RED
Michael Carter,RB,RED,YELLOW,RED
Carson Wentz,QB,YELLOW,YELLOW,YELLOW
Chris Rodriguez,RB,GREEN,YELLOW,GREEN
Tyquan Thornton,WR,GREEN,GREEN,GREEN
Kenneth Gainwell,RB,GREEN,YELLOW,YELLOW
Treylon Burks,WR,YELLOW,RED,RED
JuJu Smith-Schuster,WR,GREEN,GREEN,GREEN
Jacory Croskey-Merritt,RB,GREEN,YELLOW,GREEN
Dont'e Thornton,WR,RED,YELLOW,RED
Derek Carr,QB,#N/A,#N/A,#N/A
Ty Chandler,RB,YELLOW,YELLOW,GREEN
Tyquan Thornton,WR,RED,YELLOW,YELLOW
Treylon Burks,WR,YELLOW,RED,RED
Isaiah Bond,WR,RED,RED,RED
Orande Gadsden,TE,GREEN,RED,GREEN
Chris Rodriguez,RB,RED,YELLOW,YELLOW
Darren Waller,TE,GREEN,YELLOW,YELLOW
Darius Slayton,WR,YELLOW,RED,RED
Aidan O'Connell,QB,YELLOW,RED,RED
Jermar Jefferson,RB,YELLOW,GREEN,GREEN
Tre Tucker,WR,GREEN,RED,RED
J.J. Taylor,RB,RED,YELLOW,RED
Deuce Vaughn,RB,RED,RED,GREEN
Andrei Iosivas,WR,RED,GREEN,GREEN
D'Onta Foreman,RB,YELLOW,RED,GREEN
Joshua Dobbs,QB,YELLOW,YELLOW,YELLOW
Elijah Moore,WR,RED,YELLOW,GREEN
Joey Slye,K,YELLOW,RED,GREEN
KaVontae Turpin,WR,RED,GREEN,GREEN
Darnell Washington,TE,GREEN,GREEN,YELLOW
Greg Joseph,K,#N/A,#N/A,#N/A
Isaac Guerendo,RB,RED,YELLOW,YELLOW
Mecole Hardman Jr.,WR,YELLOW,YELLOW,RED
Allen Lazard,WR,YELLOW,GREEN,GREEN
Carson Wentz,QB,RED,YELLOW,RED
,QB,YELLOW,YELLOW,RED
Cade Stover,TE,YELLOW,RED,RED
Zay Jones,WR,YELLOW,RED,GREEN
K.J. Osborn,WR,YELLOW,RED,GREEN
Cade York,K,GREEN,GREEN,YELLOW
Connor Heyward,TE,GREEN,GREEN,YELLOW
Luke Schoonmaker,TE,RED,YELLOW,GREEN
Donovan Peoples-Jones,WR,RED,GREEN,GREEN
Hendon Hooker,QB,RED,GREEN,GREEN
Equanimeous St. Brown,WR,YELLOW,RED,RED
Daniel Bellinger,TE,GREEN,RED,RED
Brevin Jordan,TE,YELLOW,RED,RED
Brock Wright,TE,RED,YELLOW,GREEN
Dylan Laube,RB,YELLOW,RED,RED
Zach Wilson,QB,GREEN,YELLOW,RED
Jimmy Garoppolo,QB,YELLOW,YELLOW,GREEN
Theo Johnson,TE,GREEN,RED,RED
Kendrick Bourne,WR,YELLOW,RED,GREEN
Jared Wiley,TE,YELLOW,GREEN,RED
Trey Lance,QB,RED,YELLOW,GREEN
DeWayne McBride,RB,#N/A,#N/A,#N/A
Josh Reynolds,WR,YELLOW,YELLOW,RED
Tommy DeVito,QB,YELLOW,RED,RED
Brett Maher,K,#N/A,#N/A,#N/A
Tom Brady,QB,#N/A,#N/A,#N/A
Josh Oliver,TE,YELLOW,YELLOW,RED
D.J. Montgomery,WR,YELLOW,YELLOW,RED
Ainias Smith,WR,YELLOW,YELLOW,YELLOW
Matt Prater,K,YELLOW,YELLOW,GREEN
Tyler Scott,WR,YELLOW,YELLOW,GREEN
